,student_id,tutor_id,is_language_match,is_programming_match,does_hobby_overlap,is_teaching_style_match,student_level,student_prog,tutor_prog,target_label
42,S5,T3,0,1,0,0,advanced,Python,Python,4
43,S5,T4,0,0,0,1,advanced,Python,Java,2
44,S5,T5,1,1,1,0,advanced,Python,Python,8
45,S5,T6,0,0,0,1,advanced,Python,C++,2
46,S5,T7,0,0,0,0,advanced,Python,JavaScript,0
47,S5,T8,0,1,0,0,advanced,Python,Python,4
48,S5,T9,0,0,0,0,advanced,Python,JavaScript,0
49,S5,T10,0,0,0,0,advanced,Python,Rust,0
50,S6,T1,0,0,0,0,intermediate,C++,Python,0
51,S6,T2,1,0,0,1,intermediate,C++,JavaScript,5
52,S6,T3,0,0,0,1,intermediate,C++,Python,2
53,S6,T4,0,0,0,1,intermediate,C++,Java,2
54,S6,T5,0,0,0,0,intermediate,C++,Python,0
55,S6,T6,1,1,1,0,intermediate,C++,C++,8
56,S6,T7,0,0,0,1,intermediate,C++,JavaScript,2
57,S6,T8,0,0,0,1,intermediate,C++,Python,2
58,S6,T9,0,0,0,0,intermediate,C++,JavaScript,0
59,S6,T10,0,0,0,0,intermediate,C++,Rust,0
60,S7,T1,1,0,0,1,beginner,JavaScript,Python,5
61,S7,T2,0,1,0,1,beginner,JavaScript,JavaScript,6
62,S7,T3,0,0,0,0,beginner,JavaScript,Python,0
63,S7,T4,1,0,0,0,beginner,JavaScript,Java,3
64,S7,T5,0,0,0,1,beginner,JavaScript,Python,2
65,S7,T6,0,0,0,0,beginner,JavaScript,C++,0
66,S7,T7,1,1,1,1,beginner,JavaScript,JavaScript,10
67,S7,T8,0,0,0,0,beginner,JavaScript,Python,0
68,S7,T9,0,1,0,1,beginner,JavaScript,JavaScript,6
69,S7,T10,1,0,0,0,beginner,JavaScript,Rust,3
70,S8,T1,0,1,1,0,intermediate,Python,Python,5
71,S8,T2,0,0,0,1,intermediate,Python,JavaScript,2
72,S8,T3,1,1,0,1,intermediate,Python,Python,9
73,S8,T4,0,0,0,1,intermediate,Python,Java,2
74,S8,T5,0,1,0,0,intermediate,Python,Python,4
75,S8,T6,0,0,0,0,intermediate,Python,C++,0
76,S8,T7,0,0,0,1,intermediate,Python,JavaScript,2
77,S8,T8,1,1,1,1,intermediate,Python,Python,10
78,S8,T9,0,0,0,0,intermediate,Python,JavaScript,0
79,S8,T10,0,0,0,0,intermediate,Python,Rust,0
80,S9,T1,0,0,0,1,beginner,JavaScript,Python,2
81,S9,T2,0,1,1,1,beginner,JavaScript,JavaScript,7
82,S9,T3,0,0,0,0,beginner,JavaScript,Python,0
83,S9,T4,0,0,0,0,beginner,JavaScript,Java,0
84,S9,T5,0,0,0,1,beginner,JavaScript,Python,2
85,S9,T6,0,0,0,0,beginner,JavaScript,C++,0
86,S9,T7,0,1,0,1,beginner,JavaScript,JavaScript,6
87,S9,T8,0,0,0,0,beginner,JavaScript,Python,0
88,S9,T9,1,1,0,1,beginner,JavaScript,JavaScript,9
89,S9,T10,0,0,0,0,beginner,JavaScript,Rust,0
90,S10,T1,1,0,0,0,advanced,Rust,Python,3
91,S10,T2,0,0,0,0,advanced,Rust,JavaScript,0
92,S10,T3,0,0,0,0,advanced,Rust,Python,0
93,S10,T4,1,0,0,1,advanced,Rust,Java,5
94,S10,T5,0,0,0,0,advanced,Rust,Python,0
95,S10,T6,0,0,1,1,advanced,Rust,C++,3
96,S10,T7,1,0,0,0,advanced,Rust,JavaScript,3
97,S10,T8,0,0,0,0,advanced,Rust,Python,0
98,S10,T9,0,0,0,0,advanced,Rust,JavaScript,0
99,S10,T10,1,1,0,0,advanced,Rust,Rust,7
